Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
26,6919.0,0.0,30677.0,26.0,1484.0,30677.0,0.2287849999998824,-17.0,-17.0,0.0,1818.5828211307526,,,,0.10714546371140891,0.03172539497616752,0.2245279848575592,0.045512836426496506,1e-05,0.0,1e-05,1e-05,466.8093,203.89772,1199.7384,109.93544,-1.133099435035363,0.7912469544697465,0.8549430605203625,-2.7469517589195394,-1.4613749,0.22183056,-0.04647907,-2.1846664
27,7290.0,0.0,32162.0,27.0,1485.0,32162.0,0.21423199999987608,-16.0,-16.0,0.0,1921.2541890144348,,,,0.11018712229203342,0.03889159405334942,0.35104188323020935,0.03689918667078018,1e-05,0.0,1e-05,1e-05,475.52063,226.6697,1489.0063,83.81367,-1.0818778234392883,0.7930307378169672,0.5930946961768178,-2.796345174370589,-1.4241304,0.21176921,-0.18536696,-2.2228787
28,7706.0,0.0,33826.0,28.0,1664.0,33826.0,0.197924799999869,-14.0,-14.0,0.0,2034.1063251495361,,,,0.11370860813006473,0.037093576806589576,0.2828208804130554,0.0431453213095665,1e-05,0.0,1e-05,1e-05,500.2988,221.44998,1282.8701,80.320885,-0.9077665087933948,0.6897910343387958,0.46790888618909054,-2.611416579499599,-1.3852804,0.22568095,0.095195234,-2.2861328
29,8136.0,0.0,35544.0,29.0,1718.0,35544.0,0.1810883999998617,-15.0,-15.0,0.0,2150.9377241134644,,,,0.12041092706454355,0.04778726282285322,0.443972647190094,0.04122193902730942,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,512.0643,228.85287,1418.6018,117.83215,-0.936253013647838,0.6894851877680707,1.076807772737165,-2.594317033944327,-1.3941451,0.22544105,-0.13638254,-2.2593396
30,8555.0,0.0,37220.0,30.0,1676.0,37220.0,0.16466359999985458,-14.0,-14.0,0.0,2262.5634512901306,,,,0.11232573979118558,0.03577079069445094,0.2885887622833252,0.04505806043744087,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,457.95197,195.53513,1322.017,77.91168,-0.9163533399523137,0.8102242715561779,1.1156492749217253,-2.7512044907196187,-1.3946627,0.2373926,0.28473425,-2.1329384
31,8928.0,0.0,38713.0,31.0,1493.0,38713.0,0.15003219999984824,-15.0,-15.0,0.0,2362.182168006897,,,,0.11579184564724365,0.036368429815890044,0.23768824338912964,0.045484282076358795,1e-05,0.0,1e-05,1e-05,495.81027,210.04523,1342.0305,99.09056,-1.0026568038730703,0.729311790832106,0.3606315209692652,-2.7120302916153096,-1.3612026,0.23230903,0.13505699,-2.2190368
32,9355.0,0.0,40421.0,32.0,1708.0,40421.0,0.13329379999984098,-13.0,-13.0,0.0,2476.1934802532196,,,,0.11620346839764359,0.03590003451234896,0.27809906005859375,0.04097055643796921,1e-05,0.0,1e-05,1e-05,496.52203,205.692,1121.184,126.732994,-0.8468613217486128,0.8158146577364518,1.0886607686045866,-2.6828959949883027,-1.3498023,0.23488177,0.14238727,-2.105389
33,9829.0,0.0,42316.0,33.0,1895.0,42316.0,0.11472279999983293,-14.0,-14.0,0.0,2605.9010190963745,,,,0.11985912815302233,0.0382934512553238,0.25804924964904785,0.0368126779794693,1e-05,0.0,1e-05,1e-05,495.64438,221.9976,1214.5013,112.41181,-0.8077448800340581,0.6087342698002033,0.5532925676674194,-2.5651210667381066,-1.3060424,0.24270467,0.11848206,-2.0614607
34,10116.0,0.0,43466.0,34.0,1150.0,43466.0,0.10345279999982804,-18.0,-18.0,0.0,2687.1869871616364,,,,0.12093438986909515,0.039073179360568165,0.28084373474121094,0.04917722940444946,1e-05,0.0,1e-05,1e-05,492.71124,221.97829,1293.6536,103.33471,-1.3463346074986815,0.824585057116139,0.3602205469435389,-2.74132841831285,-1.3790348,0.25533453,0.18832812,-2.2073023
35,10572.0,0.0,45290.0,35.0,1824.0,45290.0,0.08557759999982029,-13.0,-13.0,0.0,2815.7293570041656,,,,0.11658190006161467,0.033442496499125625,0.25707346200942993,0.03673630207777023,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,481.66537,201.92953,1262.0071,104.227806,-0.7953024427765077,0.6462060009869228,0.5727581253505589,-2.7027318843277497,-1.3035371,0.24665695,0.021557305,-2.12814
36,11060.0,0.0,47243.0,36.0,1953.0,47243.0,0.06643819999981199,-13.0,-13.0,0.0,2953.8725712299347,,,,0.11999835831220032,0.03723461457862095,0.26095837354660034,0.048401497304439545,1e-05,0.0,1e-05,1e-05,502.86478,212.40898,1268.6953,112.33799,-0.7689957256024593,0.5938696082347746,0.39998921297251533,-2.6084593982078617,-1.316641,0.25219697,0.041336175,-2.2816572
37,11501.0,0.0,49004.0,37.0,1761.0,49004.0,0.04918039999981394,-11.0,-11.0,0.0,3082.8858602046967,,,,0.1273408299142664,0.04214761139046465,0.3120536506175995,0.04694880545139313,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,540.96124,222.63736,1343.1869,119.32536,-0.7166011812860611,0.749981156947392,0.4889630229654557,-2.6781764627082967,-1.283172,0.265352,0.54320514,-2.034596
38,11976.0,0.0,50905.0,38.0,1901.0,50905.0,0.030550599999818802,-14.0,-14.0,0.0,3217.1422913074493,,,,0.12419972393857805,0.0425826533888942,0.36805981397628784,0.04093502461910248,1e-05,0.0,1e-05,1e-05,496.27094,221.8886,1279.3379,84.86376,-0.7848744300860163,0.613064473674777,0.7299619913101196,-2.4735060532718753,-1.2708057,0.26845127,0.02814795,-2.1637468
39,12562.0,0.0,53248.0,39.0,2343.0,53248.0,0.01,-10.0,-10.0,0.0,3380.1684532165527,,,,0.11885197568405102,0.03505636383208771,0.32589226961135864,0.025199031457304955,1e-05,0.0,1e-05,1e-05,466.46454,191.30675,1397.566,77.60259,-0.5842422401582135,0.5768681023256185,0.8001933300495148,-2.0585406616015907,-1.2522091,0.26944888,0.4832112,-2.172416
40,13156.0,0.0,55625.0,40.0,2377.0,55625.0,0.01,-11.0,-11.0,0.0,3547.06427526474,,,,0.12367265406205799,0.04026582227126958,0.3461093306541443,0.031783632934093475,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,501.11804,199.66623,1179.0769,86.64575,-0.5845731263100562,0.5795692222326069,1.1832491079333525,-2.108870233518475,-1.2205851,0.286809,0.3959854,-2.1090634
41,13738.0,0.0,57954.0,41.0,2329.0,57954.0,0.01,-9.0,-9.0,0.0,3713.4138963222504,,,,0.1190464634806737,0.038127198190111025,0.3260469436645508,0.04503076523542404,1e-05,0.0,1e-05,1e-05,462.2558,198.28903,1354.0024,84.57808,-0.5183570543310485,0.6083556064215684,1.1344616295068928,-2.0737695291324134,-1.190414,0.30445278,0.7156065,-2.1359036
42,14247.0,0.0,59990.0,42.0,2036.0,59990.0,0.01,-10.0,-10.0,0.0,3858.306960105896,,,,0.12177462029784976,0.03839792414538633,0.2987029552459717,0.03506793826818466,1e-05,0.0,1e-05,1e-05,475.03094,211.0342,1214.1029,93.17068,-0.5840066183992931,0.667187912550219,0.9478343741595745,-2.56231530016442,-1.1949044,0.30271414,0.13076663,-2.1104045
43,14892.0,0.0,62571.0,43.0,2581.0,62571.0,0.01,-4.0,-4.0,0.0,4043.2740120887756,,,,0.12018182551444963,0.038807976016677403,0.3607495427131653,0.04887254163622856,1e-05,0.0,1e-05,1e-05,461.25336,207.86906,1427.5773,72.62728,-0.35352701231490025,0.572644496154119,1.2060511330130796,-2.1852537770574605,-1.1479133,0.3149166,0.84930897,-2.1317525
44,15529.0,0.0,65119.0,44.0,2548.0,65119.0,0.01,-4.0,-4.0,0.0,4225.795898199081,,,,0.12022506224823261,0.03990008148304699,0.3392004668712616,0.03902723267674446,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,459.0429,195.85135,1201.5166,88.734116,-0.32863564236757015,0.6181327581121712,1.2227282444003325,-1.9631933822458918,-1.1159843,0.33668226,0.83694524,-2.0564532
45,16122.0,0.0,67489.0,45.0,2370.0,67489.0,0.01,-6.0,-6.0,0.0,4393.401730060577,,,,0.121078864130116,0.040036780683991906,0.32684510946273804,0.04384579136967659,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,468.33246,189.81651,1180.6841,105.19175,-0.38117797303476963,0.5409165601435826,0.49016547790764886,-1.784647235462012,-1.1095159,0.35017902,0.47105873,-2.093589
46,16725.0,0.0,69902.0,46.0,2413.0,69902.0,0.01,-4.0,-4.0,0.0,4568.539177179337,,,,0.11916578510408575,0.03900900623699987,0.3867916166782379,0.03228888660669327,1e-05,0.0,1e-05,1e-05,442.17123,183.66696,1197.4354,75.94058,-0.2847466235216346,0.5770515754150698,1.2549546280863981,-2.1825424213712727,-1.0527992,0.38458565,0.9805435,-2.127855
47,17337.0,0.0,72348.0,47.0,2446.0,72348.0,0.01,-5.0,-5.0,0.0,4746.3534252643585,,,,0.11940039543349759,0.04097433925294715,0.3051828145980835,0.03981664031744003,1e-05,0.0,1e-05,1e-05,466.80582,194.24123,1487.3788,63.356667,-0.3163920314084701,0.6627494508770566,1.2754567895303692,-2.4600701779701297,-1.0402832,0.36709097,0.5007316,-2.0479298
48,17892.0,0.0,74568.0,48.0,2220.0,74568.0,0.01,-8.0,-8.0,0.0,4905.068440198898,,,,0.12039044705462885,0.04006771092171107,0.3220420479774475,0.04273231700062752,1e-05,0.0,1e-05,1e-05,443.99176,189.19684,1097.9653,76.23098,-0.4142622293647298,0.6404848459470646,1.224743852742322,-2.2225824673479115,-1.0339209,0.36291572,0.71755385,-2.0933836
49,18348.0,0.0,76395.0,49.0,1827.0,76395.0,0.01,-11.0,-11.0,0.0,5035.692692279816,,,,0.12123475586505313,0.041401849283078766,0.29033535718917847,0.027634043246507645,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,449.7492,194.33905,1226.0339,87.209946,-0.5636358163850356,0.9170130130071174,1.2043746248977938,-2.5716516674144887,-1.0496337,0.36497524,0.86754185,-2.0135746
